# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  106       3.801362832453e-10       1.195958173232e-13      -3.732472571612e-12       5.066534555601e-16       9.575301339649e-12       1.313501794486e-12      -6.838012682106e-15 
  107       3.844374742565e-10       1.214538197780e-13      -3.821825713570e-12       5.162876299110e-16       9.345164462626e-12       1.287740205607e-12      -6.798415119730e-15 
  108       3.887607272102e-10       1.232768673955e-13      -3.910741676807e-12       5.260216884071e-16       9.122165967413e-12       1.262699504851e-12      -6.756510828644e-15 
  109       3.931047642774e-10       1.250629455879e-13      -3.999143340034e-12       5.358564825310e-16       8.905671648091e-12       1.238299660639e-12      -6.710705264863e-15 
  110       3.974683427638e-10       1.268100854799e-13      -4.086953634098e-12       5.457928489183e-16       8.695099151868e-12       1.214468378134e-12      -6.659655433090e-15 
  111       4.018509109379e-10       1.285165300245e-13      -4.174098457998e-12       5.558314502333e-16       8.490375767420e-12       1.191200424041e-12      -6.603433099174e-15 
  112       4.062520263747e-10       1.301805907384e-13      -4.260504179049e-12       5.659729150267e-16       8.291534573679e-12       1.168505348964e-12      -6.542505947812e-15 
  113       4.106711499133e-10       1.318005983436e-13      -4.346096776915e-12       5.762178868426e-16       8.098572123088e-12       1.146389084589e-12      -6.477381061907e-15 
  114       4.151076422996e-10       1.333749040820e-13      -4.430801874697e-12       5.865670243569e-16       7.911447249901e-12       1.124853819844e-12      -6.408605793311e-15 
  115       4.195607608280e-10       1.349018810295e-13      -4.514544770026e-12       5.970210015151e-16       7.730079878468e-12       1.103897877072e-12      -6.336768633572e-15 
  116       4.240296559832e-10       1.363799254101e-13      -4.597250466142e-12       6.075805076708e-16       7.554349831533e-12       1.083515588193e-12      -6.262500084675e-15 
  117       4.285133680824e-10       1.378074579102e-13      -4.678843702986e-12       6.182462477239e-16       7.384095638528e-12       1.063697170870e-12      -6.186473529790e-15 
  118       4.330108239169e-10       1.391829249929e-13      -4.759248988289e-12       6.290189422582e-16       7.219113343864e-12       1.044428604679e-12      -6.109406104017e-15 
  119       4.375208333944e-10       1.405048002123e-13      -4.838390628653e-12       6.398993276802e-16       7.059155315226e-12       1.025691507272e-12      -6.032059565124e-15 
  120       4.420420861808e-10       1.417715855271e-13      -4.916192760645e-12       6.508881563568e-16       6.903929051866e-12       1.007463010543e-12      -5.955241164303e-15 
  121       4.465731483421e-10       1.429818126156e-13      -4.992579381878e-12       6.619861967537e-16       6.753095992895e-12       9.897156367971e-13      -5.879804516904e-15 
  122       4.511124589865e-10       1.441340441896e-13      -5.067474382105e-12       6.731942335733e-16       6.606270325579e-12       9.724171749140e-13      -5.806650473185e-15 
  123       4.556585033182e-10       1.452269213088e-13      -5.140802377914e-12       6.845130651562e-16       6.463102673174e-12       9.555378141212e-13      -5.736534873435e-15 
  124       4.602103614639e-10       1.462593086796e-13      -5.212491259189e-12       6.959434950529e-16       6.323544583093e-12       9.390727370569e-13      -5.669464951118e-15 
  125       4.647672166615e-10       1.472301686035e-13      -5.282469995145e-12       7.074863397391e-16       6.187612319258e-12       9.230219009522e-13      -5.605234905479e-15 
