#scalar perturbations for mode k = 1.000000000000e+00 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_rho_fld       19:rho_plus_p_theta_fld    20:delta_p_fld        
       9.477169630112e-02       2.055294381101e-07      -1.203305160217e+00       2.840946527927e-02       7.966797234692e-10       1.991699308673e-09       3.141730954177e-17       3.983398617346e-10      -9.024788701627e-01       2.840946527928e-02       6.001600423782e-01       6.996227685844e-01      -1.203304908306e+00       2.839811050776e-02       3.591625322690e-04      -9.024792634174e-01       2.843310067204e-02      -1.142580575940e-13       6.645869846943e-15       5.038297877569e-13 
       9.685660197276e-02       2.100518755729e-07      -1.203448665065e+00       2.903350068706e-02       8.504036626459e-10       2.126009156615e-09       3.502800529228e-17       4.252018313229e-10      -9.025864987984e-01       2.903350068707e-02       6.001502092369e-01       6.996068529056e-01      -1.203448380532e+00       2.902138030933e-02       3.751193722248e-04      -9.025869429803e-01       2.905873004752e-02      -1.170085500267e-13       7.122663346419e-15       5.283656214052e-13 
       9.894150764440e-02       2.145743537281e-07      -1.203593810503e+00       2.965744038880e-02       9.064875415357e-10       2.266218853839e-09       3.896320048384e-17       4.532437707679e-10      -9.026953578775e-01       2.965744038881e-02       6.001403672942e-01       6.995909607308e-01      -1.203593491175e+00       2.964452076966e-02       3.914222793497e-04      -9.026958563825e-01       2.968433379042e-02      -1.200059410395e-13       7.622433401209e-15       5.535382607005e-13 
       1.015158022875e-01       2.201584472894e-07      -1.203775437832e+00       3.042770377214e-02       9.790669265484e-10       2.447667316371e-09       4.430168496952e-17       4.895334632742e-10      -9.028315783743e-01       3.042770377215e-02       6.001281846021e-01       6.995713333866e-01      -1.203775072399e+00       3.041374982852e-02       4.120292749369e-04      -9.028321488592e-01       3.045675073060e-02      -1.240287956367e-13       8.272093994849e-15       5.855024617123e-13 
       1.040900969307e-01       2.257426028885e-07      -1.203959885176e+00       3.119781797874e-02       1.055416102425e-09       2.638540256062e-09       5.020973504813e-17       5.277080512124e-10      -9.029699138819e-01       3.119781797875e-02       6.001159486171e-01       6.995516619366e-01      -1.203959469995e+00       3.118277597498e-02       4.331635582121e-04      -9.029705620339e-01       3.122913045398e-02      -1.283881907151e-13       8.958805082152e-15       6.184471470223e-13 
       1.066643915738e-01       2.313268205254e-07      -1.204147297084e+00       3.196778098682e-02       1.135629993069e-09       2.839074982672e-09       5.673172495921e-17       5.678149965344e-10      -9.031104728130e-01       3.196778098684e-02       6.001036407530e-01       6.995319101142e-01      -1.204146828327e+00       3.195159583046e-02       4.548249527261e-04      -9.031112046114e-01       3.200147377198e-02      -1.330665878990e-13       9.683692219263e-15       6.523775458280e-13 
       1.092386862169e-01       2.369111002002e-07      -1.204337799555e+00       3.273759064245e-02       1.219803470552e-09       3.049508676380e-09       6.391427117703e-17       6.099017352760e-10      -9.032533496664e-01       3.273759064247e-02       6.000912445051e-01       6.995120462894e-01      -1.204337273202e+00       3.272020588480e-02       4.770132787688e-04      -9.032541713896e-01       3.277378136334e-02      -1.380490352346e-13       1.044788712967e-14       6.872988237864e-13 
       1.118129808601e-01       2.424954419126e-07      -1.204531502741e+00       3.350724467551e-02       1.308031353724e-09       3.270078384310e-09       7.180628705472e-17       6.540156768619e-10      -9.033986270560e-01       3.350724467554e-02       6.000787451844e-01       6.994920427916e-01      -1.204530914576e+00       3.348860251216e-02       4.997283532839e-04      -9.033995452889e-01       3.354605379015e-02      -1.433227603090e-13       1.125252764353e-14       7.232160869940e-13 
       1.143872755032e-01       2.480798456629e-07      -1.204728503226e+00       3.427674071398e-02       1.400408406844e-09       3.501021017111e-09       8.045903740705e-17       7.002042034222e-10      -9.035463774199e-01       3.427674071401e-02       6.000661296860e-01       6.994718753401e-01      -1.204727848832e+00       3.425678198537e-02       5.229699897943e-04      -9.035473990611e-01       3.431829151209e-02      -1.488768348446e-13       1.209875764102e-14       7.601343856829e-13 
       1.169615701463e-01       2.536643114510e-07      -1.204928885925e+00       3.504607629574e-02       1.497029338199e-09       3.742573345496e-09       8.992619302750e-17       7.485146690993e-10      -9.036966644437e-01       3.504607629577e-02       6.000533862939e-01       6.994515225698e-01      -1.204928160678e+00       3.502474048771e-02       5.467379983359e-04      -9.036977967128e-01       3.509049489827e-02      -1.547018972241e-13       1.298772699958e-14       7.980587176616e-13 
